claim_id,claim_text,evidence_type,supporting_table_or_figure,supporting_script,supporting_data,claim_strength,allowed_wording,forbidden_wording
C01,Closed-form SSI Demand-Polarity Map,theory,manuscript Section 3,theory checks summarized in manuscript,none,strong,derives a screening boundary,validates field response histories
C02,Secant spectral slope improves screening consistency,consistency,manuscript spectral tables,core manuscript checks,spectral examples,strong,secant spectral-slope consistency,complete SSI prediction
C03,FoRDy/FoRCy support class-level experimental proxy validation,experimental proxy,outputs/published/tables/experimental_validation_metrics_by_dataset.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,moderate,experimental proxy class validation,nonlinear 3D validation
C04,FoRDy alone is partial evidence,experimental proxy,outputs/published/tables/experimental_validation_metrics_by_dataset.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,data/raw_redistributed,limited,partial dynamic evidence,FoRDy alone fully validates the criterion
C05,Garner is a falsification audit not positive validation,falsification,outputs/published/tables/experimental_claim_boundary_matrix.csv,validation/experimental_database_validation/reproduce_experimental_validation.py,historical audit outputs,strong,validation-falsification audit,Garner validates nonlinear 3D SFSI
C06,FoRDy independent predictive screening layer passes safety gates,predictive proxy,outputs/published/tables/baseline_comparison.csv,validation/independent_predictive_validation/reproduce_predictive_validation.py,data/raw_redistributed,moderate,independent predictive proxy screening,independent response-history prediction
C06b,FoRDy predictive screening uncertainty is audited at study-group level,grouped uncertainty audit,outputs/published/tables/grouped_bootstrap_uncertainty.csv,validation/independent_predictive_validation/reproduce_group_uncertainty_audit.py,validation/independent_predictive_validation/predictive_validation_results.csv,limited/moderate,cluster-bootstrap robustness audit,precise row-wise confidence or calibrated response-history prediction
C07,Decision-value false-safe audit supports risk-aware screening,decision-value audit,outputs/published/tables/proxy_decision_value_summary.csv,validation/decision_value_validation/reproduce_decision_value_validation.py,outputs/published/tables/fordy_forcy_master_validation_table.csv,moderate/strong,decision-value false-safe audit,full nonlinear response validation
C08,Failure-mode atlas identifies low-margin guardrail for safe releases,guardrail audit,outputs/published/tables/guardrail_application_summary.csv,validation/failure_mode_guardrails/reproduce_failure_mode_guardrails.py,outputs/published/tables/fordy_forcy_master_validation_table.csv,moderate/strong,failure-mode guardrail audit,physical response-history prediction
C09,FLIQ supports an external liquefaction-oriented false-safe audit,external false-safe audit,outputs/published/tables/fliq_false_safe_audit_rows.csv,validation/fliq_false_safe_audit/reproduce_fliq_false_safe_audit.py,data/raw_redistributed/FLIQ/FLIQ_MainSpreadsheet_unformatted.csv,moderate,external liquefaction-oriented false-safe audit,nonlinear 3D validation or response-history prediction
C10,OpenSeesPy 3D solver-backed class prediction passes conservative screening gates,solver-backed predictive class validation,outputs/published/tables/solver_backed_baseline_comparison.csv,validation/solver_backed_class_prediction/reproduce_solver_backed_class_prediction.py,data/raw_redistributed/FoRDy_Mastersheet_v1.0.0_20180821_2322.csv,moderate,3D solver-backed predictive class validation,full nonlinear 3D response-history validation
